skill_a,skill_b,cooccur,meaning,relation
Agile / Scrum,LangChain,0.007,0.193,complements
MuleSoft,Risk Management,0.007,0.001,complements
Figma,PostgreSQL,0.006,0.178,complements
AWS Security,Kubernetes,0.006,0.232,complements
A/B Testing,GitHub,0.006,0.084,complements
Kubernetes,Stakeholder Mgmt,0.006,0.134,complements
Cybersecurity,Distributed Systems,0.006,0.261,complements
Datadog,Tableau,0.006,0.231,complements
Datadog,Power BI,0.006,0.294,complements
Active Directory,Elasticsearch,0.006,0.275,complements
Firewalls,Hadoop,0.006,0.079,complements
Deep Learning,MySQL,0.006,0.145,complements
Penetration Testing,TensorFlow,0.006,0.012,complements
C++,Informatica,0.006,0.266,complements
C++,Looker,0.006,0.263,complements
Hadoop,TypeScript,0.006,0.099,complements
Active Directory,Tableau,0.006,0.253,complements
R,Unit Testing,0.006,0.216,complements
Linear,Node.js,0.006,0.125,complements
Data Analysis,OWASP,0.006,0.156,complements
Distributed Systems,Salesforce,0.006,0.243,complements
Microservices,SAS,0.006,0.072,complements
Data Analysis,Helm,0.006,0.123,complements
Ansible,SAP,0.006,0.248,complements
CISSP,JSON,0.006,0.144,complements
.NET,Data Pipeline,0.006,0.185,complements
JSON,Stakeholder Mgmt,0.006,0.145,complements
Figma,Microservices,0.006,0.225,complements
Node.js,ServiceNow,0.006,0.179,complements
MongoDB,SAP,0.006,0.094,complements
Ansible,Data Visualization,0.006,0.202,complements
Node.js,VMware,0.006,0.368,complements
Active Directory,Unit Testing,0.006,0.123,complements
Ansible,Excel,0.006,0.168,complements
Angular,VMware,0.006,0.21,complements
CISSP,Go,0.006,0.229,complements
Power BI,Software Architecture,0.006,0.299,complements
CSS,TensorFlow,0.006,0.149,complements
Databricks,HTML,0.006,0.079,complements
Windows,Workday,0.006,0.3,complements
PowerShell,Redis,0.006,0.109,complements
Scala,Windows,0.006,0.549,complements
Node.js,PyTorch,0.006,0.088,complements
Cybersecurity,Jupyter,0.006,0.014,complements
GraphQL,jQuery,0.006,0.288,complements
Data Governance,Penetration Testing,0.006,0.137,complements
Go,XML,0.006,0.495,complements
C,Spring,0.006,0.364,complements
Elasticsearch,Risk Management,0.006,-0.012,complements
Incident Response,Stakeholder Mgmt,0.006,0.142,complements
Databricks,Risk Management,0.006,-0.005,complements
Data Warehousing,Kotlin,0.006,0.093,complements
Flask,Windows,0.006,0.233,complements
Firewalls,MongoDB,0.006,0.111,complements
Redshift,TypeScript,0.006,0.106,complements
Spring,Stakeholder Mgmt,0.006,0.163,complements
Cybersecurity,Django,0.006,0.101,complements
Bash,Statistical Analysis,0.006,0.131,complements
Data Governance,Splunk,0.006,0.171,complements
Ansible,Swift,0.006,0.252,complements
ServiceNow,Software Architecture,0.006,0.259,complements
C#,Looker,0.006,0.232,complements
C,Statistical Analysis,0.006,0.016,complements
.NET,VMware,0.006,0.218,complements
Angular,CISSP,0.006,0.068,complements
Cybersecurity,Data Pipeline,0.006,0.175,complements
CISSP,Data Visualization,0.006,0.042,complements
Helm,NoSQL,0.006,0.127,complements
Jira,Linear,0.006,0.876,substitutes
Deep Learning,React,0.006,0.126,complements
Airflow,Kanban,0.006,0.541,complements
Prototyping,Terraform,0.006,0.08,complements
Incident Response,Spark,0.006,0.089,complements
Excel,Incident Response,0.006,0.144,complements
User Research,Windows,0.006,0.279,complements
Deep Learning,Node.js,0.006,0.061,complements
CISSP,Salesforce,0.006,0.216,complements
Data Warehousing,Prometheus,0.006,0.414,complements
Azure,Segment,0.006,0.369,complements
Segment,Windows,0.006,0.373,complements
Splunk,jQuery,0.006,0.171,complements
C++,dbt,0.006,0.186,complements
Data Pipeline,XML,0.006,0.417,complements
JavaScript,Workday,0.006,0.243,complements
Kafka,Penetration Testing,0.006,-0.02,complements
C,Firewalls,0.006,0.139,complements
Databricks,Incident Response,0.006,0.049,complements
C,MongoDB,0.006,0.243,complements
Cybersecurity,SSIS,0.006,0.103,complements
Firewalls,Spring,0.006,0.135,complements
CI/CD,Statistical Analysis,0.006,0.139,complements
Kubernetes,Statistical Analysis,0.006,-0.055,complements
Ansible,NumPy,0.006,0.132,complements
Swift,System Design,0.006,0.321,complements
Linux,Next.js,0.006,0.276,complements
HTML,Statistical Analysis,0.006,0.135,complements
Figma,GitLab,0.006,0.208,complements
HTML,TensorFlow,0.006,0.177,complements
Excel,NoSQL,0.006,0.098,complements
Agile / Scrum,SIEM,0.006,0.089,complements
Distributed Systems,Power BI,0.006,0.265,complements
Incident Response,Kotlin,0.006,0.031,complements
Salesforce,Spring,0.006,0.2,complements
CISSP,PHP,0.006,0.2,complements
Airflow,PowerShell,0.006,0.248,complements
Incident Response,Power BI,0.006,0.278,complements
Power BI,Swift,0.006,0.155,complements
Databricks,Software Architecture,0.006,0.141,complements
Ansible,R,0.006,0.239,complements
Excel,MongoDB,0.006,0.173,complements
CSS,Data Pipeline,0.006,0.098,complements
Go,SAP,0.006,0.283,complements
PowerShell,Spring,0.006,0.191,complements
Big Data,Swift,0.006,0.153,complements
A/B Testing,Unit Testing,0.006,0.395,complements
Go,Risk Management,0.006,0.074,complements
ETL,TypeScript,0.006,0.119,complements
C++,Databricks,0.006,0.183,complements
HTML,Hive,0.006,0.135,complements
Angular,Pandas,0.006,0.073,complements
C,NLP,0.006,0.142,complements
TensorFlow,Unit Testing,0.006,0.03,complements
Oracle,SIEM,0.006,0.199,complements
ETL,Spring Boot,0.006,0.226,complements
Data Visualization,Spring Boot,0.006,0.172,complements
CSS,Data Governance,0.006,0.044,complements
Big Data,SIEM,0.006,0.147,complements
Redshift,Spring,0.006,0.172,complements
Confluence,SIEM,0.006,0.267,complements
Data Warehousing,PHP,0.006,0.158,complements
Excel,Figma,0.006,0.201,complements
CISSP,XML,0.006,0.088,complements
PHP,R,0.006,0.385,complements
PostgreSQL,Stakeholder Mgmt,0.006,0.014,complements
Big Data,Firewalls,0.006,0.072,complements
Incident Response,MySQL,0.006,0.12,complements
Hadoop,Stakeholder Mgmt,0.006,0.01,complements
Ansible,Redshift,0.006,0.266,complements
Kafka,PHP,0.006,0.233,complements
Jira,Segment,0.006,0.357,complements
Snowflake,Windows,0.006,0.166,complements
Microservices,dbt,0.006,0.249,complements
Ansible,Tableau,0.006,0.314,complements
CISSP,Elasticsearch,0.006,0.044,complements
HTML,Helm,0.006,0.139,complements
Azure,Firebase,0.006,0.477,complements
.NET,Figma,0.005,0.371,complements
GraphQL,R,0.005,0.194,complements
Salesforce,Spring Boot,0.005,0.299,complements
Kotlin,R,0.005,0.356,complements
PHP,Power BI,0.005,0.289,complements
Cybersecurity,Kotlin,0.005,0.12,complements
Active Directory,Data Pipeline,0.005,0.253,complements
Figma,XML,0.005,0.38,complements
Cybersecurity,Scala,0.005,0.196,complements
Databricks,Node.js,0.005,0.143,complements
DevOps,Google Analytics,0.005,0.109,complements
Data Visualization,jQuery,0.005,0.237,complements
Incident Response,NoSQL,0.005,0.084,complements
Hive,Stakeholder Mgmt,0.005,0.003,complements
Data Pipeline,HTML,0.005,0.142,complements
.NET,Firewalls,0.005,0.071,complements
Prototyping,Scala,0.005,0.042,complements
PHP,Tableau,0.005,0.318,complements
Risk Management,jQuery,0.005,0.058,complements
Node.js,R,0.005,0.214,complements
Unit Testing,VMware,0.005,0.133,complements
.NET,Risk Management,0.005,0.065,complements
Node.js,Tableau,0.005,0.204,complements
R,jQuery,0.005,0.223,complements
R,VMware,0.005,0.214,complements
TypeScript,User Research,0.005,0.151,complements
.NET,Redshift,0.005,0.128,complements
C++,ServiceNow,0.005,0.276,complements
Data Visualization,Kotlin,0.005,0.155,complements
Hadoop,Incident Response,0.005,0.056,complements
Dynamics 365,Java,0.005,0.413,complements
SQL,Segment,0.005,0.407,complements
Firewalls,NoSQL,0.005,0.069,complements
Penetration Testing,Unit Testing,0.005,0.304,complements
Kubernetes,SSIS,0.005,0.279,complements
Linux,Looker,0.005,0.333,complements
Data Visualization,Ruby,0.005,0.209,complements
Data Visualization,Swift,0.005,0.116,complements
Distributed Systems,ServiceNow,0.005,0.336,complements
Incident Response,Tableau,0.005,0.142,complements
CI/CD,User Research,0.005,0.295,complements
Data Modeling,Incident Response,0.005,0.193,complements
NoSQL,Penetration Testing,0.005,0.071,complements
Java,SIEM,0.005,0.291,complements
Figma,MongoDB,0.005,0.178,complements
C#,Figma,0.005,0.254,complements
Google Analytics,Linux,0.005,0.178,complements
CISSP,Data Warehousing,0.005,0.136,complements
Cybersecurity,Hive,0.005,0.093,complements
MySQL,Stakeholder Mgmt,0.005,0.014,complements
NLP,Spring,0.005,0.092,complements
Spring Boot,Tableau,0.005,0.276,complements
Deep Learning,Microservices,0.005,0.158,complements
CISSP,Tableau,0.005,0.134,complements
Data Analysis,Segment,0.005,0.317,complements
Risk Management,Ruby,0.005,0.069,complements
Prototyping,VMware,0.005,0.078,complements
Linux,User Research,0.005,0.142,complements
C++,Segment,0.005,0.242,complements
CISSP,React,0.005,0.081,complements
Docker,SSIS,0.005,0.249,complements
Excel,Unit Testing,0.005,0.283,complements
Penetration Testing,Spring,0.005,0.189,complements
Prototyping,ServiceNow,0.005,0.056,complements
Redshift,System Design,0.005,0.192,complements
Machine Learning,MuleSoft,0.005,0.064,complements
React,TensorFlow,0.005,0.269,complements
C#,Statistical Analysis,0.005,0.13,complements
Cassandra,Risk Management,0.005,-0.062,complements
Excel,GitHub,0.005,0.158,complements
Figma,Linux,0.005,0.207,complements
.NET,Snowflake,0.005,0.093,complements
Kafka,MATLAB,0.005,0.142,complements
TensorFlow,TypeScript,0.005,0.145,complements
Incident Response,Kanban,0.005,0.167,complements
Hadoop,PHP,0.005,0.19,complements
Angular,Informatica,0.005,0.194,complements
BigQuery,C++,0.005,0.234,complements
DynamoDB,Windows,0.005,0.248,complements
Active Directory,TypeScript,0.005,0.153,complements
Data Warehousing,ServiceNow,0.005,0.18,complements
Hive,Risk Management,0.005,-0.016,complements
GCP,Segment,0.005,0.369,complements
Go,Salesforce,0.005,0.235,complements
MongoDB,Risk Management,0.005,0.018,complements
Cybersecurity,Databricks,0.005,0.099,complements
Penetration Testing,Stakeholder Mgmt,0.005,0.098,complements
Docker,Workday,0.005,0.146,complements
MuleSoft,Windows,0.005,0.327,complements
NLP,XML,0.005,0.206,complements
Cybersecurity,Snowflake,0.005,0.112,complements
Data Visualization,Incident Response,0.005,0.074,complements
Tableau,User Research,0.005,0.237,complements
Active Directory,Machine Learning,0.005,0.096,complements
PHP,Spark,0.005,0.215,complements
Terraform,jQuery,0.005,0.215,complements
Penetration Testing,Tableau,0.005,0.07,complements
Penetration Testing,Power BI,0.005,0.079,complements
PHP,Risk Management,0.005,0.038,complements
Angular,Data Governance,0.005,-0.009,complements
CISSP,Snowflake,0.005,0.183,complements
Data Warehousing,jQuery,0.005,0.054,complements
Active Directory,ETL,0.005,0.199,complements
Angular,Statistical Analysis,0.005,0.108,complements
Active Directory,Data Governance,0.005,0.274,complements
NoSQL,ServiceNow,0.005,0.106,complements
Ruby,Snowflake,0.005,0.176,complements
Pandas,PowerShell,0.005,0.201,complements
Segment,Tableau,0.005,0.361,complements
ETL,PHP,0.005,0.263,complements
Angular,Penetration Testing,0.005,0.054,complements
Active Directory,React,0.005,0.225,complements
Microservices,SAP,0.005,0.215,complements
Active Directory,GitLab,0.005,0.3,complements
Distributed Systems,Firewalls,0.005,0.179,complements
MATLAB,REST API,0.005,0.174,complements
Linux,dbt,0.005,0.169,complements
GraphQL,Power BI,0.005,0.327,complements
SQL,Zero Trust,0.005,0.197,complements
MATLAB,MongoDB,0.005,0.14,complements
MATLAB,Stakeholder Mgmt,0.005,0.034,complements
CSS,Hive,0.005,0.14,complements
Oracle,PyTorch,0.005,0.13,complements
Prototyping,Redshift,0.005,-0.024,complements
Databricks,XML,0.005,0.245,complements
AWS,Segment,0.005,0.369,complements
CISSP,Spark,0.005,0.02,complements
Deep Learning,Risk Management,0.005,0.06,complements
Dynamics 365,Machine Learning,0.005,0.196,complements
GraphQL,Tableau,0.005,0.298,complements
Node.js,Risk Management,0.005,0.065,complements
Cybersecurity,Pandas,0.005,0.032,complements
Excel,Penetration Testing,0.005,0.136,complements
Firewalls,XML,0.005,0.142,complements
Incident Response,Salesforce,0.005,0.13,complements
Angular,Excel,0.004,0.229,complements
Cassandra,Cybersecurity,0.004,0.154,complements
Penetration Testing,PostgreSQL,0.004,0.068,complements
Power BI,VMware,0.004,0.109,complements
C++,SIEM,0.004,0.244,complements
PowerShell,Spring Boot,0.004,0.209,complements
ETL,Software Architecture,0.004,0.412,complements
Data Modeling,Kotlin,0.004,0.213,complements
Kotlin,Power BI,0.004,0.187,complements
Active Directory,C,0.004,0.209,complements
Angular,Deep Learning,0.004,0.04,complements
Big Data,ServiceNow,0.004,0.261,complements
Docker,User Research,0.004,0.047,complements
Excel,React,0.004,0.197,complements
C,Data Warehousing,0.004,0.125,complements
CISSP,Power BI,0.004,0.197,complements
Cybersecurity,Spring,0.004,0.164,complements
Distributed Systems,PowerShell,0.004,0.315,complements
Figma,Terraform,0.004,0.21,complements
Data Pipeline,MATLAB,0.004,0.24,complements
Active Directory,Go,0.004,0.347,complements
PowerShell,Software Architecture,0.004,0.248,complements
Figma,Risk Management,0.004,0.076,complements
REST API,Statistical Analysis,0.004,0.107,complements
CI/CD,SIEM,0.004,0.241,complements
Firewalls,Kafka,0.004,0.154,complements
HTML,SIEM,0.004,0.195,complements
Ansible,Stakeholder Mgmt,0.004,0.182,complements
Cybersecurity,Elasticsearch,0.004,0.105,complements
Hive,TypeScript,0.004,0.103,complements
Penetration Testing,Spark,0.004,-0.016,complements
ETL,MATLAB,0.004,0.189,complements
Active Directory,Stakeholder Mgmt,0.004,0.193,complements
Cassandra,Excel,0.004,0.125,complements
C#,SIEM,0.004,0.3,complements
React,VMware,0.004,0.188,complements
Microservices,SSIS,0.004,0.252,complements
Redshift,Windows,0.004,0.226,complements
Incident Response,REST API,0.004,-0.009,complements
R,TypeScript,0.004,0.361,complements
GraphQL,Risk Management,0.004,0.051,complements
Firewalls,Node.js,0.004,0.126,complements
CI/CD,Excel,0.004,0.246,complements
Informatica,React,0.004,0.23,complements
CISSP,Statistical Analysis,0.004,0.032,complements
HTML,Incident Response,0.004,0.021,complements
Active Directory,Distributed Systems,0.004,0.341,complements
Excel,Software Architecture,0.004,0.271,complements
Airflow,Cybersecurity,0.004,0.156,complements
Risk Management,TypeScript,0.004,-0.021,complements
Firewalls,Machine Learning,0.004,0.139,complements
Firewalls,HTML,0.004,0.135,complements
Angular,NLP,0.004,0.055,complements
Hadoop,ServiceNow,0.004,0.275,complements
Software Architecture,VMware,0.004,0.226,complements
Machine Learning,ServiceNow,0.004,0.178,complements
Figma,Go,0.004,0.344,complements
Active Directory,Data Modeling,0.004,0.229,complements
Active Directory,Spark,0.004,0.227,complements
Data Warehousing,MATLAB,0.004,0.149,complements
Active Directory,Hadoop,0.004,0.293,complements
Go,jQuery,0.004,0.259,complements
REST API,SIEM,0.004,0.198,complements
Deep Learning,Excel,0.004,0.086,complements
Cybersecurity,User Research,0.004,0.151,complements
Risk Management,User Research,0.004,0.338,complements
MongoDB,Stakeholder Mgmt,0.004,0.002,complements
React,Segment,0.004,0.318,complements
CSS,Databricks,0.004,0.031,complements
Cybersecurity,SAS,0.004,0.126,complements
Go,MATLAB,0.004,0.445,complements
A/B Testing,Linux,0.004,0.095,complements
Excel,Jenkins,0.004,0.168,complements
CISSP,Software Architecture,0.004,0.249,complements
Figma,Windows,0.004,0.276,complements
DevOps,Segment,0.004,0.26,complements
CSS,Statistical Analysis,0.004,0.148,complements
React,SAP,0.004,0.046,complements
Firewalls,JSON,0.004,0.144,complements
Databricks,TypeScript,0.004,0.107,complements
PowerShell,Salesforce,0.004,0.145,complements
Data Visualization,Penetration Testing,0.004,0.121,complements
Microservices,ServiceNow,0.004,0.343,complements
Go,User Research,0.004,0.138,complements
Spark,VMware,0.004,0.424,complements
CISSP,TypeScript,0.004,0.12,complements
CI/CD,Segment,0.004,0.196,complements
Hive,Windows,0.004,0.212,complements
Active Directory,Redshift,0.004,0.2,complements
Angular,TensorFlow,0.004,0.137,complements
Incident Response,Node.js,0.004,0.11,complements
CSS,Firewalls,0.004,0.124,complements
Active Directory,Big Data,0.004,0.23,complements
Agile / Scrum,Segment,0.004,0.15,complements
Incident Response,XML,0.004,0.077,complements
Active Directory,MongoDB,0.004,0.31,complements
Data Visualization,Spring,0.004,0.102,complements
Node.js,SAP,0.004,0.098,complements
Cybersecurity,Swift,0.004,0.165,complements
Angular,SAP,0.004,0.106,complements
Bash,Excel,0.003,0.232,complements
Machine Learning,SIEM,0.003,0.16,complements
Active Directory,Software Architecture,0.003,0.226,complements
MATLAB,Node.js,0.003,0.257,complements
C#,Firewalls,0.003,0.236,complements
Cybersecurity,Spring Boot,0.003,0.115,complements
Firewalls,React,0.003,0.121,complements
Active Directory,Snowflake,0.003,0.196,complements
Spring,Tableau,0.003,0.221,complements
Excel,Kafka,0.003,0.225,complements
Excel,Microservices,0.003,0.201,complements
Data Modeling,VMware,0.003,0.11,complements
Stakeholder Mgmt,TypeScript,0.003,-0.034,complements
LLMs / GenAI,Windows,0.003,0.176,complements
Power BI,Spring,0.003,0.214,complements
Cybersecurity,Figma,0.003,0.034,complements
Data Warehousing,Incident Response,0.003,0.304,complements
CISSP,Node.js,0.003,0.122,complements
React,Statistical Analysis,0.003,0.045,complements
MATLAB,React,0.003,0.213,complements
CSS,MATLAB,0.003,0.222,complements
Active Directory,Kafka,0.003,0.239,complements
Excel,Kubernetes,0.003,0.155,complements
Data Governance,TypeScript,0.003,-0.005,complements
PyTorch,React,0.003,0.269,complements
CSS,PyTorch,0.003,0.149,complements
TensorFlow,VMware,0.003,0.125,complements
Go,ServiceNow,0.003,0.357,complements
Active Directory,Data Visualization,0.003,0.185,complements
Java,Segment,0.003,0.408,complements
Kubernetes,User Research,0.003,0.03,complements
Spring,VMware,0.003,0.207,complements
Docker,Excel,0.003,0.146,complements
Incident Response,React,0.003,0.026,complements
Tableau,VMware,0.003,0.203,complements
CISSP,REST API,0.003,0.131,complements
Deep Learning,HTML,0.003,0.069,complements
.NET,CISSP,0.003,0.189,complements
